id,sala,edificio,codigo,detalle,serial,inventario,estado,cantidad,observaciones
18,CNC,FabLab,NULL,TABLERO 2.39 X 1.19 M,NULL,NULL,NULL,NULL,NULL
19,CNC,FabLab,NULL,TAPETE SUBLIMINADO COLOR MADERA CLARO 2 X 2,03,NULL,NULL,NULL,1,NULL
20,CNC,FabLab,NULL,TAPETE SUBLIMINADO COLOR MADERA MEDIO 2 X 2,015,NULL,NULL,NULL,1,NULL
21,CNC,FabLab,NULL,TAPETE SUBLIMINADO COLOR MADERA OSCURO 2 X 1,365,NULL,NULL,NULL,1,NULL
22,CNC,FabLab,NULL,TAPETE SUBLIMINADO COLOR MADERA OSCURO 1,40 X 0,6,NULL,NULL,NULL,1,NULL
23,CNC,FabLab,NULL,CUERINA,NULL,NULL,NULL,1,NULL
24,CNC,FabLab,NULL,TAPIZADO AZUL 198.5 X 195.5,NULL,NULL,NULL,1,NULL
25,CNC,FabLab,NULL,TAPIZADO PLATEADO 2 X 2,NULL,NULL,NULL,1,NULL
26,CNC,FabLab,NULL,TAPIZADO ROJO 121 X 2 m,NULL,NULL,NULL,1,NULL
27,CNC,FabLab,NULL,TELA QUIRURGICA NEGRA,NULL,NULL,NULL,1,NULL
28,CNC,FabLab,NULL,VARIEDAD DE RECORTES,NULL,NULL,NULL,INCONTABLE,NULL
29,CNC,FabLab,NULL,ACRILICO BLANCO,NULL,NULL,NULL,2,NULL
30,CNC,FabLab,CNC-01,Silla metalica CNC-01,NULL,NULL,Buen estado,1,Sin rotulo de inventario
31,CNC,FabLab,CNC-02,Silla metalica CNC-02,NULL,NULL,Buen estado,1,Sin rotulo de inventario
32,CNC,FabLab,CNC-03,Silla metalica CNC-03,NULL,NULL,Buen estado,1,Sin rotulo de inventario
33,CNC,FabLab,CNC-04,Silla metalica CNC-04,NULL,NULL,Buen estado,1,Sin rotulo de inventario
34,CNC,FabLab,CNC-05,Silla giratoria azul  SG-01,NULL,NULL,Buen estado,1,Sin rotulo de inventario
35,CNC,FabLab,CNC-06,Silla giratoria azul  SG-02,NULL,NULL,Buen estado,1,Sin rotulo de inventario
36,CNC,FabLab,CNC-07,Silla giratoria negra SN-01,NULL,NULL,Buen estado,1,Sin rotulo de inventario
37,CNC,FabLab,CNC-08,Silla negra fija,NULL,NULL,Buen estado,1,Sin rotulo de inventario
38,CNC,FabLab,CNC-09,Pinza de corte diagonal azul XCELITE,NULL,NULL,Buen estado,1,Sin rotulo de inventario
39,CNC,FabLab,CNC-10,Careta de soldar negra CS-01,NULL,NULL,Buen estado,1,Sin rotulo de inventario
40,CNC,FabLab,CNC-11,Careta de soldar negra CS-02,NULL,NULL,Buen estado,1,Sin rotulo de inventario
41,CNC,FabLab,CNC-12,Careta de soldar negra CS-03,NULL,NULL,Buen estado,1,Sin rotulo de inventario
42,CNC,FabLab,CNC-13,Careta de soldar negra CS-04,NULL,NULL,Buen estado,1,Sin rotulo de inventario
43,CNC,FabLab,CNC-14,Careta de soldar negra CS-05,NULL,NULL,Buen estado,1,Sin rotulo de inventario
44,CNC,FabLab,CNC-15,Careta de soldar negra CS-06,NULL,NULL,Buen estado,1,Sin rotulo de inventario
45,CNC,FabLab,CNC-16,Careta de soldar negra CS-07,NULL,NULL,Buen estado,1,Sin rotulo de inventario
46,CNC,FabLab,CNC-17,Careta de soldar negra CS-08,NULL,NULL,Buen estado,1,Sin rotulo de inventario
47,CNC,FabLab,CNC-18,Careta de soldar negra CS-09,NULL,NULL,Buen estado,1,Sin rotulo de inventario
48,CNC,FabLab,CNC-19,Careta de soldar negra CS-10,NULL,NULL,Buen estado,1,Sin rotulo de inventario
49,CNC,FabLab,CNC-20,Bisturi  gris B-01,NULL,NULL,Buen estado,1,Sin rotulo de inventario
50,CNC,FabLab,CNC-21,Bisturi  gris B-02,NULL,NULL,Buen estado,1,Sin rotulo de inventario
51,CNC,FabLab,CNC-22,Bisturi  gris B-03,NULL,NULL,Buen estado,1,Sin rotulo de inventario
52,CNC,FabLab,CNC-23,Bisturi azul BA-01,NULL,NULL,Buen estado,1,Sin rotulo de inventario
53,CNC,FabLab,CNC-24,Bolsa aserrin,NULL,NULL,NULL,1,Sin rotulo de inventario
54,CNC,FabLab,CNC-25,Llave combinada Stanley #13,80-223,NULL,Buen estado,1,Sin rotulo de inventario
55,CNC,FabLab,CNC-26,Llave combinada Stanley #14,80-224,NULL,Buen estado,1,Sin rotulo de inventario
56,CNC,FabLab,CNC-27,Llave combinada Stanley #15,80-225,NULL,Buen estado,1,Sin rotulo de inventario
57,CNC,FabLab,CNC-28,Llave combinada Stanley #17,80-229,NULL,Buen estado,1,Sin rotulo de inventario
58,CNC,FabLab,CNC-29,Llave fija SATA 13-15,CY3,NULL,Buen estado,1,Sin rotulo de inventario
59,CNC,FabLab,CNC-30,Llave fija SATA 14-17,CY3,NULL,Buen estado,1,Sin rotulo de inventario
60,CNC,FabLab,CNC-31,Llave inglesa STANLEY,87-431,NULL,Buen estado,1,Sin rotulo de inventario
61,CNC,FabLab,CNC-32,Alicate de corte diagonal amarillo Stanley,NULL,NULL,NULL,1,Sin rotulo de inventario
62,CNC,FabLab,CNC-33,Pinza amarilla,NULL,NULL,NULL,1,Sin rotulo de inventario
63,CNC,FabLab,CNC-34,Atornillador precision negra WERA,118068,NULL,Buen estado,1,Sin rotulo de inventario
64,CNC,FabLab,CNC-35,Aire tipo casette,75327-0039M16-C00RSQ,NULL,NULL,NULL,Sin rotulo de inventario
65,CNC,FabLab,CNC-36,Broca espada MAKITA 5/8,D-24561,NULL,Buen estado,1,Sin rotulo de inventario
66,CNC,FabLab,CNC-37,Fresa Bauker Corte Recto 3/8(9,52 mm)-01,R1201,NULL,NULL,1,Sin rotulo de inventario
67,CNC,FabLab,CNC-38,Fresa Bauker Corte Recto 3/8(9,52 mm)-02,R1201,NULL,NULL,1,Sin rotulo de inventario
68,CNC,FabLab,CNC-39,Fresa Bauker Corte Recto 1/4(6,35 mm)-03,R1211,NULL,NULL,1,Sin rotulo de inventario
69,CNC,FabLab,CNC-40,Fresa Bauker Corte Recto 1/4(6,35 mm)-04,R1211,NULL,NULL,1,Sin rotulo de inventario
70,CNC,FabLab,CNC-41,Fresa Bauker Media CaÃ±a 1/2(12,7mm),R3101,NULL,NULL,1,Sin rotulo de inventario
71,CNC,FabLab,CNC-42,Fresa Bauker Ranura en V 90Â°,R7101,NULL,NULL,1,Sin rotulo de inventario
72,CNC,FabLab,CNC-43,Calibrador digital truper 6mm,NULL,NULL,Buen estado,1,Sin rotulo de inventario
73,CNC,FabLab,CNC-44,Lupa Magnflying Glass,NULL,NULL,Buen estado,1,Sin rotulo de inventario
74,CNC,FabLab,CNC-45,Flexometro Redflag,NULL,NULL,Buen estado,1,Sin rotulo de inventario
75,CNC,FabLab,CNC-46,Formone Redline   6mm,NULL,NULL,Buen estado,1,Sin rotulo de inventario
76,CNC,FabLab,CNC-47,Formone Redline  12mm,NULL,NULL,Buen estado,1,Sin rotulo de inventario
77,CNC,FabLab,CNC-48,Formone Redline  19mm,NULL,NULL,Buen estado,1,Sin rotulo de inventario
78,CNC,FabLab,CNC-49,Formone Redline  25mm,NULL,NULL,Buen estado,1,Sin rotulo de inventario
79,CNC,FabLab,CNC-50,Fresa recta filo DISCOVER 1/8,521049400,NULL,Buen estado,1,Sin rotulo de inventario
80,CNC,FabLab,CNC-51,Remachadora amarilla STANLEY,STHT69646,NULL,Buen estado,1,Sin rotulo de inventario
81,CNC,FabLab,CNC-52,Tijera hojalatera corte derecho verde REDLINE,14A6131,NULL,Buen estado,1,Sin rotulo de inventario
82,CNC,FabLab,CNC-53,Tijera hojalatera corte derecho Amarilla  REDLINE,14A6111,NULL,Buen estado,1,Sin rotulo de inventario
83,CNC,FabLab,CNC-54,Tijera hojalatera corte derecho Roja  REDLINE,14A6121,NULL,Buen estado,1,Sin rotulo de inventario
84,CNC,FabLab,CNC-55,Segueta 12" blanca Uberman,24TPI/DPP,NULL,Buen estado,1,Sin rotulo de inventario
85,CNC,FabLab,CNC-56,Serrucho 18" negro Uberman,NULL,NULL,Buen estado,1,Sin rotulo de inventario
86,CNC,FabLab,CNC-57,Grapadora Uberman,NULL,NULL,Buen estado,1,Sin rotulo de inventario
87,CNC,FabLab,CNC-58,Martillo negro Uberman,NULL,NULL,Buen estado,1,Sin rotulo de inventario
88,CNC,FabLab,CNC-59,Pistola de aire caliente Naranga BLACK DECKER,HG1500-B3,NULL,Buen estado,1,Sin rotulo de inventario
89,CNC,FabLab,CNC-60,Filamento 3D Rollo,CFIXPLA-9,OP 2024041952,Buen estado,1,NULL
90,CNC,FabLab,CNC-61,Desoldador Proskit,PK-366NA,NULL,Buen estado,1,Sin rotulo de inventario
91,CNC,FabLab,CNC-62,Carrreta de soldadura estaÃ±o,TS-500,NULL,Buen estado,1,Sin rotulo de inventario
92,CNC,FabLab,CNC-63,Corta frio de corte diagonal de precision Xcelite,NULL,NULL,Buen estado,1,Sin rotulo de inventario
93,CNC,FabLab,CNC-64,Jueg de llaves Allen tipo navaja SATA-01,9121,NULL,Buen estado,1,Sin rotulo de inventario
94,CNC,FabLab,CNC-65,Jueg de llaves Allen tipo navaja SATA-02,9121,NULL,Buen estado,1,Sin rotulo de inventario
95,CNC,FabLab,CNC-66,Adaptador T naranja Titanium,NULL,NULL,Buen estado,1,Sin rotulo de inventario
96,CNC,FabLab,CNC-67,Destornillador pala Uberman pequeÃ±o,V20200313,NULL,Buen estado,1,Sin rotulo de inventario
97,CNC,FabLab,CNC-68,Destornillador pala Uberman grande,V20200313,NULL,Buen estado,1,Sin rotulo de inventario
98,CNC,FabLab,CNC-69,Destornillador estria  Uberman grande,V20200313,NULL,Buen estado,1,Sin rotulo de inventario
99,CNC,FabLab,CNC-70,Destornillador estria  Uberman pequeÃ±o,V20200313,NULL,Buen estado,1,Sin rotulo de inventario
100,CNC,FabLab,CNC-71,Juego de herramientas STANLEY,STMT71651,NULL,Buen estado,1,Sin rotulo de inventario
101,CNC,FabLab,CNC-72,Juego de herramientas REDLINE,V20201112,NULL,Buen estado,1,Sin rotulo de inventario
102,CNC,FabLab,CNC-73,Protector auditivo Samurai,NULL,NULL,Buen estado,2,Sin rotulo de inventario
103,CNC,FabLab,CNC-74,Caja herramienta Pulidora Bauker 820,PO#1014135,NULL,Buen estado,1,Sin rotulo de inventario
104,CNC,FabLab,CNC-75,Enfriador de agua Chilller,CW-3000,NULL,Buen estado,1,Sin rotulo de inventario
105,CNC,FabLab,CNC-76,Enfriador de agua Chilller,CW-5000,NULL,Buen estado,1,Sin rotulo de inventario
106,CNC,FabLab,CNC-77,KIT PULIDORA MOTOTOOL BAUKER,po#10141345,NULL,Buen estado,1,Sin rotulo de inventario
107,CNC,FabLab,CNC-78,Kit taladro percutor Bauker-01,ID600E KIT-90,NULL,Buen estado,1,Sin rotulo de inventario
108,CNC,FabLab,CNC-79,Kit taladro percutor Bauker-02,ID600E KIT-90,NULL,Buen estado,1,Sin rotulo de inventario
109,CNC,FabLab,CNC-80,Cortadora Bauker SB350S VERDE,SB350S,166002 591 001 00,Buen estado,1,NULL
110,CNC,FabLab,CNC-81,Amoladora de banco STANLEY amarilla,27533,NULL,Buen estado,1,Sin rotulo de inventario
111,CNC,FabLab,CNC-82,Prensa de banco roja,NULL,NULL,Buen estado,1,Sin rotulo de inventario
112,CNC,FabLab,CNC-83,Cortadora Monofab Naranja,ZEP 2612,NULL,Buen estado,1,Sin rotulo de inventario
113,CNC,FabLab,CNC-84,ExtensiÃ³n electrica naranja,NULL,NULL,Buen estado,1,Sin rotulo de inventario
114,CNC,FabLab,CNC-85,Gafas proteccion oscuras,VICZ287+U6L3S,NULL,Buen estado,1,Sin rotulo de inventario
115,CNC,FabLab,CNC-86,Gafas proteccion transparentes,NULL,NULL,Buen estado,6,Sin rotulo de inventario
116,CNC,FabLab,CNC-87,Gafa protecciÃ³n azul marca KIM,NULL,NULL,Buen estado,1,Sin rotulo de inventario
117,CNC,FabLab,CNC-88,Estanteria metalica de 6 entrepaÃ±os gris,NULL,NULL,Buen estado,9,Sin rotulo de inventario
118,CNC,FabLab,CNC-89,Impresora Plotter Roland,NET0714,NULL,Buen estado,1,Sin rotulo de inventario
119,CNC,FabLab,CNC-90,Cortadora Laser INGEACOL,20211609003,NULL,Buen estado,1,Sin rotulo de inventario
120,CNC,FabLab,CNC-91,Router de Mesa azul MINI 6090,210185,NULL,Buen estado,1,Sin rotulo de inventario
121,CNC,FabLab,CNC-92,Monitor  DELL P2419H -01,3P2MRS2,167002  101  4670  01,Buen estado,1,NULL
122,CNC,FabLab,CNC-93,TECLADO DELL KB216T -01,11f-OMSP-A04,NULL,Buen estado,1,Sin rotulo de inventario
123,CNC,FabLab,CNC-94,Mouse DELL MS116 NEGRO -01,CN-OC4JKP-PRC00-11N-0291,167002  101  4675  03,Buen estado,1,NULL
124,CNC,FabLab,CNC-95,CPU Service TAG -01,NULL,NULL,Buen estado,1,Sin rotulo de inventario
125,CNC,FabLab,CNC-96,MONITOR DELL P2419H -02,6P9XRS2,167002  101  4675  01,Buen estado,1,NULL
126,CNC,FabLab,CNC-97,Teclado DELL KB216T -02,11F-0OP8-A04,167002  101  4670  02,Buen estado,1,NULL
127,CNC,FabLab,CNC-98,Mouse DELL MS116 NEGRO -02,CN-0C4JKP-PRC00-11N-0292,167002   101  4668  03,Buen estado,1,NULL
128,CNC,FabLab,CNC-99,CPU Service TAG -02,HFLWRB3,NULL,Buen estado,1,Sin rotulo de inventario
129,CNC,FabLab,CNC-100,Mouse Genius,NULL,NULL,NULL,1,NULL
130,CNC,FabLab,CNC-101,Mouse DELL MS116 NEGRO -03,NULL,NULL,NULL,1,NULL
131,CNC,FabLab,CNC-102,Teclado DELL KB216T -03,11f-OPDY-A04,167002  101  4668  02,Buen estado,1,NULL
132,CNC,FabLab,CNC-103,CPU Service TAG -03,2GLWRB3,NULL,Buen estado,1,Sin rotulo de inventario
133,CNC,FabLab,CNC-104,MONITOR DELL P2419H -03,DTK2D23,167002  101   4669  01,Buen estado,1,NULL
134,CNC,FabLab,CNC-105,Teclado DELL KB216T -04,11F-0OPB-A04,167002  101  4674  02,Buen estado,1,NULL
135,CNC,FabLab,CNC-106,Mouse DELL MS116 NEGRO -04,CN-ODMV3P-CH400-OCH-OD3V-A01,NULL,Buen estado,1,Sin rotulo de inventario
136,CNC,FabLab,CNC-107,CPU Service TAG -04,92LWRB3,NULL,Buen estado,1,Sin rotulo de inventario
137,CNC,FabLab,CNC-108,Tornillo A2-70,NULL,NULL,NULL,3,NULL
138,CNC,FabLab,CNC-109,Tornilo 6.8,NULL,NULL,NULL,5,NULL
139,CNC,FabLab,CNC-110,Tornillo YZ 4.8,NULL,NULL,NULL,4,NULL
140,CNC,FabLab,CNC-111,Tornillo Goloso,NULL,NULL,NULL,11,NULL
141,CNC,FabLab,CNC-112,Tornillo de cabeza hexagonal,NULL,NULL,NULL,12,NULL
142,CNC,FabLab,CNC-113,Espatula negra 38mm,NULL,NULL,NULL,1,NULL
143,CNC,FabLab,CNC-114,Bateria Newline BN-01,3000VA,167002  103   1395  00,Buen estado,1,NULL
144,CNC,FabLab,CNC-115,Bateria Newline BN-02,3000VA,167002  103  1379  00,Buen estado,1,NULL
145,CNC,FabLab,CNC-116,Bateria Newline BN-03,3000VA,167002  103  1394  00,Buen estado,1,NULL
146,CNC,FabLab,CNC-117,CPU service tag,B3LWRB3,167002  101  4670  00,Sin uso,1,NULL
147,CNC,FabLab,CNC-118,Mascara de doble filtro 3M,NULL,NULL,NULL,1,NULL
148,CNC,FabLab,CNC-119,Mesa centro 2.40x1.50,NULL,NULL,NULL,1,NULL
149,CNC,FabLab,CNC-120,Mesa de almacenamiento,NULL,NULL,NULL,1,NULL
150,CNC,FabLab,CNC-121,Mesa 1.50 X 74,NULL,NULL,NULL,1,NULL
151,CNC,FabLab,CNC-122,Mesa  2.25 X 60,NULL,NULL,NULL,1,NULL
152,CNC,FabLab,CNC-123,Mesa pequeÃ±a 1.66 X 1.0,NULL,NULL,NULL,1,NULL
153,CNC,FabLab,CNC-124,Cartucho impresiÃ³n HP LaserJET,0252003G13V1BB7F36,NULL,NULL,NULL,NULL
154,CNC,FabLab,CNC-125,Acrilico naranga,NULL,NULL,NULL,1,NULL
155,CNC,FabLab,CNC-126,Acrilicos azules,NULL,NULL,NULL,2,NULL
156,CNC,FabLab,CNC-127,Acrilicos transparentes,NULL,NULL,NULL,0,NULL
157,CNC,FabLab,CNC-128,Acrilico blanco,NULL,NULL,NULL,2,NULL
158,CNC,FabLab,CNC-129,Pincel #10,NULL,NULL,NULL,1,NULL
159,CNC,FabLab,CNC-130,Pincel #8,NULL,NULL,NULL,1,NULL
160,CNC,FabLab,CNC-131,Tablero blanco 2.39x1.19,NULL,NULL,NULL,2,NULL
161,CNC,FabLab,CNC-132,Camara de seguridad HIKVISION H1,E94672252,167001  209  143,NULL,1,NULL
162,CNC,FabLab,CNC-133,Camara de seguridad HIKVISION H2,E94671907,167001  209  133,NULL,1,NULL
163,CNC,FabLab,CNC-134,Pliego carton 1.50mts x 1mt,NULL,NULL,NULL,19,NULL
164,CNC,FabLab,CNC-135,Lamina mdf blanca 1.22x0.92,NULL,NULL,NULL,8,NULL
165,CNC,FabLab,CNC-136,Lamina mdf negra 1.22x0.92,NULL,NULL,NULL,8,NULL
166,CNC,FabLab,NULL,Lamina mdf natural 1.22x0.82,NULL,NULL,NULL,2,NULL
